Customer ID,Gender,Age,Married,City,Zip Code,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0004-TLHLJ,Male,50,No,Costa Mesa,92627.00,4,Offer E,Yes,33.65,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.90,280.85,134.60,415.45,Churned,Competitor,Competitor had better devices
0011-IGKFF,Male,78,Yes,Martinez,94553.00,13,Offer D,Yes,27.82,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.00,1237.85,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,Female,75,Yes,Camarillo,93010.00,3,None,Yes,7.38,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.90,267.40,22.14,289.54,Churned,Dissatisfaction,Network reliability
0022-TCJCI,Male,79,No,Daly City,94015.00,45,None,Yes,10.67,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.70,2791.50,480.15,3271.65,Churned,Dissatisfaction,Limited range of services
0023-XUOPT,Female,26,Yes,Carnelian Bay,96140.00,13,None,Yes,43.56,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.10,1215.60,566.28,1781.88,Churned,Other,Don't know
0067-DKWBL,Male,69,No,San Diego,92129.00,2,None,Yes,43.99,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.10,87.98,179.08,Churned,Competitor,Competitor made better offer
0093-XWZFY,Male,51,No,Desert Hot Springs,92241.00,40,None,Yes,37.69,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.50,4036.85,1507.60,5544.45,Churned,Competitor,Competitor had better devices
0094-OIFMO,Female,78,No,North Hollywood,91605.00,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.00,1120.30,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction
0107-YHINA,Male,59,No,Los Angeles,90062.00,1,None,Yes,40.71,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,40.71,140.46,Churned,Competitor,Competitor had better devices
0112-QWPNC,Male,61,Yes,Valyermo,93563.00,49,Offer B,Yes,39.55,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,1937.95,5997.30,Churned,Competitor,Competitor offered higher download speeds
0115-TFERT,Male,24,Yes,Fresno,93650,21,None,Yes,36.26,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,761.46,3198.56,Churned,Attitude,Attitude of service provider
0122-OAHPZ,Female,29,No,San Diego,92122.00,7,None,Yes,28.62,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,200.34,698.56,Churned,Competitor,Competitor made better offer
0125-LZQXK,Male,42,No,Big Oak Flat,95305.00,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,688.80,2242.75,Churned,Attitude,Attitude of service provider
0133-BMFZO,Female,40,No,Alhambra,91803.00,2,None,Yes,36.81,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,73.62,255.27,Churned,Competitor,Competitor offered higher download speeds
0135-NMXAP,Female,57,No,Lodi,95240,12,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,172.56,1224.96,Churned,Attitude,Attitude of support person
0137-OCGAB,Female,25,No,Fairfield,94533.00,1,Offer E,Yes,1.23,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.20,80.20,1.23,81.43,Churned,Price,Lack of affordable download/upload speed
0148-DCDOS,Male,41,No,Planada,95365,25,None,Yes,34.88,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,872,3234.1,Churned,Competitor,Competitor had better devices
0151-ONTOV,Female,43,No,Moorpark,93021.00,1,Offer E,Yes,39.81,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.90,70.90,39.81,110.71,Churned,Competitor,Competitor had better devices
0156-FVPTA,Male,48,Yes,Solvang,93463.00,22,Offer D,Yes,27.24,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.20,1152.70,599.28,1751.98,Churned,Attitude,Attitude of service provider
